id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
dvziVSSn/,/soccer/england/premier-league/arsenal-crystal-palace-dvziVSSn/,TRUE,2017-01-01,E0,2017,england,Arsenal,Crystal Palace,2,0,1.41,5.9,10,1.59,2.55,1.88,2.08
pbySWu4i/,/soccer/england/premier-league/watford-tottenham-pbySWu4i/,TRUE,2017-01-01,E0,2017,england,Watford,Tottenham,1,4,6.7,4.4,1.6,1.95,2.12,1.92,2
AcnAL6Uu/,/soccer/england/premier-league/everton-southampton-AcnAL6Uu/,TRUE,2017-01-02,E0,2017,england,Everton,Southampton,3,0,2.48,3.3,3.42,2.25,1.79,1.94,1.95
AyexFMDN/,/soccer/england/premier-league/west-ham-manchester-united-AyexFMDN/,TRUE,2017-01-02,E0,2017,england,West Ham,Manchester Utd,0,2,6.8,4.6,1.58,1.73,2.4,1.8,2.14
lloEKQqn/,/soccer/england/premier-league/manchester-city-burnley-lloEKQqn/,TRUE,2017-01-02,E0,2017,england,Manchester City,Burnley,2,1,1.22,8,20,1.55,2.73,2.2,1.82
OKhQHOT4/,/soccer/england/premier-league/sunderland-liverpool-OKhQHOT4/,TRUE,2017-01-02,E0,2017,england,Sunderland,Liverpool,2,2,11,6.25,1.33,1.58,2.66,2,1.93
rBpIJpah/,/soccer/england/premier-league/middlesbrough-leicester-rBpIJpah/,TRUE,2017-01-02,E0,2017,england,Middlesbrough,Leicester City,0,0,2.82,3.15,3,2.61,1.65,2.05,1.95
WpdYF2bH/,/soccer/england/premier-league/west-brom-hull-city-WpdYF2bH/,TRUE,2017-01-02,E0,2017,england,West Brom,Hull,3,1,2.01,3.35,4.95,2.5,1.63,2.15,1.78
dGubEkNC/,/soccer/england/premier-league/bournemouth-arsenal-dGubEkNC/,TRUE,2017-01-03,E0,2017,england,Bournemouth,Arsenal,3,3,5.8,4.3,1.72,1.69,2.39,1.69,2.33
td3LI4Eb/,/soccer/england/premier-league/stoke-city-watford-td3LI4Eb/,TRUE,2017-01-03,E0,2017,england,Stoke City,Watford,2,0,1.85,3.65,5.2,2.17,1.82,2,1.9
z7v2D9xJ/,/soccer/england/premier-league/crystal-palace-swansea-z7v2D9xJ/,TRUE,2017-01-03,E0,2017,england,Crystal Palace,Swansea,1,2,1.89,3.84,4.85,1.87,2.11,1.75,2.18
2BiUGrqB/,/soccer/england/premier-league/tottenham-chelsea-2BiUGrqB/,TRUE,2017-01-04,E0,2017,england,Tottenham,Chelsea,2,0,2.78,3.21,3.1,2.12,1.86,1.8,2.25
GQTBA3lG/,/soccer/spain/laliga/espanyol-dep-la-coruna-GQTBA3lG/,TRUE,2017-01-06,SP1,2017,spain,Espanyol,Deportivo La Coruna,1,1,2.25,3.25,3.98,2.55,1.63,2.1,1.82
2Bgpc0Qb/,/soccer/italy/serie-a/napoli-sampdoria-2Bgpc0Qb/,TRUE,2017-01-07,I1,2017,italy,Napoli,Sampdoria,2,1,1.28,6.8,13,1.49,3.13,1.75,2.19
bqOo41Rq/,/soccer/spain/laliga/real-sociedad-sevilla-bqOo41Rq/,TRUE,2017-01-07,SP1,2017,spain,Real Sociedad,Sevilla,0,4,2.56,3.55,3.04,1.84,2.14,1.67,2.37
CtRNuaeO/,/soccer/italy/serie-a/empoli-palermo-CtRNuaeO/,TRUE,2017-01-07,I1,2017,italy,Empoli,Palermo,1,0,2.11,3.3,4.76,2.33,1.71,2.05,1.88
