id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
GzVlQ3pd/,/soccer/england/premier-league-2012-2013/tottenham-reading-GzVlQ3pd/,FALSE,2013-01-01,E0,2013,england,Tottenham,Reading,3,1,1.36,5.6,12,NA,NA,NA,NA
IakEW57S/,/soccer/england/premier-league-2012-2013/manchester-city-stoke-city-IakEW57S/,FALSE,2013-01-01,E0,2013,england,Manchester City,Stoke City,3,0,1.36,5.4,12.93,NA,NA,NA,NA
MR2E0ava/,/soccer/england/premier-league-2012-2013/swansea-aston-villa-MR2E0ava/,FALSE,2013-01-01,E0,2013,england,Swansea,Aston Villa,2,2,1.67,4.2,6.26,NA,NA,NA,NA
OxCumRi9/,/soccer/england/premier-league-2012-2013/wigan-manchester-united-OxCumRi9/,FALSE,2013-01-01,E0,2013,england,Wigan,Manchester Utd,0,4,5.2,3.95,1.79,NA,NA,NA,NA
tEMzl7x3/,/soccer/england/premier-league-2012-2013/west-ham-norwich-tEMzl7x3/,FALSE,2013-01-01,E0,2013,england,West Ham,Norwich City,2,1,2.04,3.65,4.3,NA,NA,NA,NA
UwJWlmNd/,/soccer/england/premier-league-2012-2013/west-brom-fulham-UwJWlmNd/,FALSE,2013-01-01,E0,2013,england,West Brom,Fulham,1,2,2.02,3.7,4.25,NA,NA,NA,NA
xpWpRqVk/,/soccer/england/premier-league-2012-2013/southampton-arsenal-xpWpRqVk/,FALSE,2013-01-01,E0,2013,england,Southampton,Arsenal,1,1,5.4,4.3,1.73,NA,NA,NA,NA
AZo6YRxG/,/soccer/england/premier-league-2012-2013/chelsea-qpr-AZo6YRxG/,FALSE,2013-01-02,E0,2013,england,Chelsea,QPR,0,1,1.31,6.5,15,NA,NA,NA,NA
K8ytSPFq/,/soccer/england/premier-league-2012-2013/newcastle-utd-everton-K8ytSPFq/,FALSE,2013-01-02,E0,2013,england,Newcastle,Everton,1,2,3.9,3.5,2.16,NA,NA,NA,NA
OxjAXohM/,/soccer/england/premier-league-2012-2013/liverpool-sunderland-OxjAXohM/,FALSE,2013-01-02,E0,2013,england,Liverpool,Sunderland,3,0,1.4,5.5,9.9,NA,NA,NA,NA
SbUMmMSK/,/soccer/spain/primera-division-2012-2013/zaragoza-betis-SbUMmMSK/,TRUE,2013-01-04,SP1,2013,spain,Real Zaragoza,Real Betis,1,2,2.29,3.5,3.6,NA,NA,NA,NA
bHJOink3/,/soccer/italy/serie-a-2012-2013/catania-torino-bHJOink3/,TRUE,2013-01-05,I1,2013,italy,Catania,Torino,0,0,1.97,3.45,4.8,NA,NA,NA,NA
fNZbqOdq/,/soccer/italy/serie-a-2012-2013/lazio-cagliari-fNZbqOdq/,TRUE,2013-01-05,I1,2013,italy,Lazio,Cagliari,2,1,1.57,4.4,7.8,NA,NA,NA,NA
lleFUtMr/,/soccer/spain/primera-division-2012-2013/granada-cf-valencia-lleFUtMr/,TRUE,2013-01-05,SP1,2013,spain,Granada,Valencia,1,2,3.3,3.5,2.46,NA,NA,NA,NA
rBfJT0yk/,/soccer/spain/primera-division-2012-2013/sevilla-osasuna-rBfJT0yk/,TRUE,2013-01-05,SP1,2013,spain,Sevilla,Osasuna,1,0,1.55,4.7,8.03,NA,NA,NA,NA
vwlSRv61/,/soccer/spain/primera-division-2012-2013/dep-la-coruna-malaga-vwlSRv61/,TRUE,2013-01-05,SP1,2013,spain,Deportivo La Coruna,Malaga,1,0,3.25,3.8,2.39,NA,NA,NA,NA
vZXQntrR/,/soccer/spain/primera-division-2012-2013/levante-ath-bilbao-vZXQntrR/,TRUE,2013-01-05,SP1,2013,spain,Levante,Athletic Bilbao,3,1,2.56,3.5,3.15,NA,NA,NA,NA
6qtEkrb8/,/soccer/spain/primera-division-2012-2013/celta-vigo-valladolid-6qtEkrb8/,TRUE,2013-01-06,SP1,2013,spain,Celta Vigo,Real Valladolid,3,1,1.95,3.75,5.6,NA,NA,NA,NA
8Qw3rrCk/,/soccer/italy/serie-a-2012-2013/ac-milan-siena-8Qw3rrCk/,TRUE,2013-01-06,I1,2013,italy,AC Milan,Siena,2,1,1.35,5.6,12.11,NA,NA,NA,NA
bilTlpZL/,/soccer/italy/serie-a-2012-2013/genoa-bologna-bilTlpZL/,TRUE,2013-01-06,I1,2013,italy,Genoa,Bologna,2,0,2.42,3.35,3.45,NA,NA,NA,NA
dEbNSKje/,/soccer/spain/primera-division-2012-2013/real-madrid-real-sociedad-dEbNSKje/,TRUE,2013-01-06,SP1,2013,spain,Real Madrid,Real Sociedad,4,3,1.31,8.5,18,NA,NA,NA,NA
hvJSj649/,/soccer/italy/serie-a-2012-2013/chievo-atalanta-hvJSj649/,TRUE,2013-01-06,I1,2013,italy,Chievo Verona,Atalanta,1,0,2.58,3.2,3.45,NA,NA,NA,NA
IeLg55J2/,/soccer/italy/serie-a-2012-2013/udinese-inter-IeLg55J2/,TRUE,2013-01-06,I1,2013,italy,Udinese,Internazionale,3,0,2.85,3.45,2.9,NA,NA,NA,NA
ITnWQbL7/,/soccer/spain/primera-division-2012-2013/barcelona-espanyol-ITnWQbL7/,TRUE,2013-01-06,SP1,2013,spain,Barcelona,Espanyol,4,0,1.12,14,29,NA,NA,NA,NA
jkT7s2Re/,/soccer/italy/serie-a-2012-2013/napoli-as-roma-jkT7s2Re/,TRUE,2013-01-06,I1,2013,italy,Napoli,AS Roma,4,1,2.14,4,3.5,NA,NA,NA,NA
pzuIl2DE/,/soccer/spain/primera-division-2012-2013/mallorca-atl-madrid-pzuIl2DE/,TRUE,2013-01-06,SP1,2013,spain,Mallorca,Atletico Madrid,1,1,4.4,3.65,2,NA,NA,NA,NA
UuSBtMt2/,/soccer/italy/serie-a-2012-2013/parma-palermo-UuSBtMt2/,TRUE,2013-01-06,I1,2013,italy,Parma,Palermo,2,1,1.7,4.09,6.2,NA,NA,NA,NA
WUHWkQJF/,/soccer/italy/serie-a-2012-2013/fiorentina-pescara-WUHWkQJF/,TRUE,2013-01-06,I1,2013,italy,Fiorentina,US Pescara,0,2,1.33,7.7,20,NA,NA,NA,NA
xrmXm4lS/,/soccer/italy/serie-a-2012-2013/juventus-sampdoria-xrmXm4lS/,TRUE,2013-01-06,I1,2013,italy,Juventus,Sampdoria,1,2,1.27,7.4,21,NA,NA,NA,NA
nu9mZMDR/,/soccer/spain/primera-division-2012-2013/rayo-vallecano-getafe-nu9mZMDR/,TRUE,2013-01-07,SP1,2013,spain,Rayo Vallecano,Getafe,3,1,2.29,3.6,3.55,NA,NA,NA,NA
0SxIzoZo/,/soccer/france/ligue-1-2012-2013/paris-sg-ac-ajaccio-0SxIzoZo/,TRUE,2013-01-11,F1,2013,france,Paris Saint-Germain,AC Ajaccio,0,0,1.14,9.85,28.28,NA,NA,NA,NA
67UkXBSg/,/soccer/france/ligue-1-2012-2013/st-etienne-toulouse-67UkXBSg/,TRUE,2013-01-11,F1,2013,france,St Etienne,Toulouse,2,2,2.02,3.4,4.66,NA,NA,NA,NA
GxfVeJKs/,/soccer/spain/primera-division-2012-2013/ath-bilbao-rayo-vallecano-GxfVeJKs/,TRUE,2013-01-11,SP1,2013,spain,Athletic Bilbao,Rayo Vallecano,1,2,1.99,3.85,4.2,NA,NA,NA,NA
0I1IaJg5/,/soccer/england/premier-league-2012-2013/everton-swansea-0I1IaJg5/,FALSE,2013-01-12,E0,2013,england,Everton,Swansea,0,0,1.62,4.37,6.6,NA,NA,NA,NA
0UTgWVs0/,/soccer/france/ligue-1-2012-2013/troyes-lyon-0UTgWVs0/,TRUE,2013-01-12,F1,2013,france,Troyes,Lyon,1,2,4.5,3.72,2.04,NA,NA,NA,NA
2igWxsU1/,/soccer/england/premier-league-2012-2013/reading-west-brom-2igWxsU1/,FALSE,2013-01-12,E0,2013,england,Reading,West Brom,3,2,3.05,3.5,2.56,NA,NA,NA,NA
2qa71Q62/,/soccer/england/premier-league-2012-2013/stoke-city-chelsea-2qa71Q62/,FALSE,2013-01-12,E0,2013,england,Stoke City,Chelsea,0,4,5.17,3.65,1.87,NA,NA,NA,NA
AgEipPyS/,/soccer/england/premier-league-2012-2013/fulham-wigan-AgEipPyS/,FALSE,2013-01-12,E0,2013,england,Fulham,Wigan,1,1,2.2,3.5,3.85,NA,NA,NA,NA
fXQoYiDm/,/soccer/france/ligue-1-2012-2013/nancy-lille-fXQoYiDm/,TRUE,2013-01-12,F1,2013,france,AS Nancy Lorraine,Lille,2,2,4.3,3.65,2,NA,NA,NA,NA
htE1tvLf/,/soccer/spain/primera-division-2012-2013/osasuna-real-madrid-htE1tvLf/,TRUE,2013-01-12,SP1,2013,spain,Osasuna,Real Madrid,0,0,7.2,4.84,1.54,NA,NA,NA,NA
MsRQYO3b/,/soccer/france/ligue-1-2012-2013/rennes-bordeaux-MsRQYO3b/,TRUE,2013-01-12,F1,2013,france,Stade Rennes,Bordeaux,0,2,2.54,3.25,3.3,NA,NA,NA,NA
O0fSwNEe/,/soccer/england/premier-league-2012-2013/qpr-tottenham-O0fSwNEe/,FALSE,2013-01-12,E0,2013,england,QPR,Tottenham,0,0,4.9,4,1.85,NA,NA,NA,NA
t2fd2LsE/,/soccer/spain/primera-division-2012-2013/valladolid-mallorca-t2fd2LsE/,TRUE,2013-01-12,SP1,2013,spain,Real Valladolid,Mallorca,3,1,2.04,3.55,4.3,NA,NA,NA,NA
tzbB0pM8/,/soccer/england/premier-league-2012-2013/sunderland-west-ham-tzbB0pM8/,FALSE,2013-01-12,E0,2013,england,Sunderland,West Ham,3,0,2.7,3.4,3,NA,NA,NA,NA
UweOv3ak/,/soccer/england/premier-league-2012-2013/norwich-newcastle-utd-UweOv3ak/,FALSE,2013-01-12,E0,2013,england,Norwich City,Newcastle,0,0,2.34,3.6,3.4,NA,NA,NA,NA
vB923qlF/,/soccer/italy/serie-a-2012-2013/bologna-chievo-vB923qlF/,TRUE,2013-01-12,I1,2013,italy,Bologna,Chievo Verona,4,0,2.1,3.25,4.59,NA,NA,NA,NA
vcGDwx5D/,/soccer/spain/primera-division-2012-2013/espanyol-celta-vigo-vcGDwx5D/,TRUE,2013-01-12,SP1,2013,spain,Espanyol,Celta Vigo,1,0,2.41,3.45,3.4,NA,NA,NA,NA
vLScVkc6/,/soccer/france/ligue-1-2012-2013/evian-tg-brest-vLScVkc6/,TRUE,2013-01-12,F1,2013,france,Evian Thonon Gaillard,Brest,0,2,1.82,3.75,5.6,NA,NA,NA,NA
W2Fmo5ML/,/soccer/england/premier-league-2012-2013/aston-villa-southampton-W2Fmo5ML/,FALSE,2013-01-12,E0,2013,england,Aston Villa,Southampton,0,1,2.7,3.5,2.9,NA,NA,NA,NA
x6ikfuB1/,/soccer/italy/serie-a-2012-2013/inter-pescara-x6ikfuB1/,TRUE,2013-01-12,I1,2013,italy,Internazionale,US Pescara,2,0,1.35,6.1,12,NA,NA,NA,NA
z5JdsK5l/,/soccer/spain/primera-division-2012-2013/valencia-sevilla-z5JdsK5l/,TRUE,2013-01-12,SP1,2013,spain,Valencia,Sevilla,2,0,2.16,3.75,3.75,NA,NA,NA,NA
zmM6TTRI/,/soccer/france/ligue-1-2012-2013/montpellier-lorient-zmM6TTRI/,TRUE,2013-01-12,F1,2013,france,Montpellier,Lorient,2,0,1.78,3.9,5.64,NA,NA,NA,NA
2TAqno7F/,/soccer/england/premier-league-2012-2013/arsenal-manchester-city-2TAqno7F/,FALSE,2013-01-13,E0,2013,england,Arsenal,Manchester City,0,2,2.96,3.5,2.66,NA,NA,NA,NA
4hgsd1tk/,/soccer/italy/serie-a-2012-2013/sampdoria-ac-milan-4hgsd1tk/,TRUE,2013-01-13,I1,2013,italy,Sampdoria,AC Milan,0,0,4.7,3.65,1.99,NA,NA,NA,NA
ddN2U9CC/,/soccer/france/ligue-1-2012-2013/sochaux-marseille-ddN2U9CC/,TRUE,2013-01-13,F1,2013,france,Sochaux,Marseille,3,1,5.5,3.55,1.87,NA,NA,NA,NA
dnKc4PY8/,/soccer/italy/serie-a-2012-2013/lazio-atalanta-dnKc4PY8/,TRUE,2013-01-13,I1,2013,italy,Lazio,Atalanta,2,0,1.75,3.9,6.1,NA,NA,NA,NA
ET730aCQ/,/soccer/spain/primera-division-2012-2013/betis-levante-ET730aCQ/,TRUE,2013-01-13,SP1,2013,spain,Real Betis,Levante,2,0,2,3.7,4.4,NA,NA,NA,NA
GziKuqpq/,/soccer/england/premier-league-2012-2013/manchester-united-liverpool-GziKuqpq/,FALSE,2013-01-13,E0,2013,england,Manchester Utd,Liverpool,2,1,2.1,3.65,4.25,NA,NA,NA,NA
hEZyIr38/,/soccer/italy/serie-a-2012-2013/torino-siena-hEZyIr38/,TRUE,2013-01-13,I1,2013,italy,Torino,Siena,3,2,2.22,3.25,4.09,NA,NA,NA,NA
j9eggaQ7/,/soccer/italy/serie-a-2012-2013/catania-as-roma-j9eggaQ7/,TRUE,2013-01-13,I1,2013,italy,Catania,AS Roma,1,0,3.15,4.01,2.29,NA,NA,NA,NA
joD6233L/,/soccer/italy/serie-a-2012-2013/udinese-fiorentina-joD6233L/,TRUE,2013-01-13,I1,2013,italy,Udinese,Fiorentina,3,1,3.08,3.45,2.6,NA,NA,NA,NA
Khg01ucK/,/soccer/spain/primera-division-2012-2013/atl-madrid-zaragoza-Khg01ucK/,TRUE,2013-01-13,SP1,2013,spain,Atletico Madrid,Real Zaragoza,2,0,1.34,6.2,12.41,NA,NA,NA,NA
nHbxcsRr/,/soccer/italy/serie-a-2012-2013/parma-juventus-nHbxcsRr/,TRUE,2013-01-13,I1,2013,italy,Parma,Juventus,1,1,5.3,3.67,1.89,NA,NA,NA,NA
nPYDyRJu/,/soccer/france/ligue-1-2012-2013/nice-valenciennes-nPYDyRJu/,TRUE,2013-01-13,F1,2013,france,Nice,Valenciennes,5,0,2.1,3.45,4.22,NA,NA,NA,NA
p8CA1NIR/,/soccer/italy/serie-a-2012-2013/cagliari-genoa-p8CA1NIR/,TRUE,2013-01-13,I1,2013,italy,Cagliari,Genoa,2,1,1.91,3.85,5.18,NA,NA,NA,NA
QgC9vIk7/,/soccer/spain/primera-division-2012-2013/malaga-barcelona-QgC9vIk7/,TRUE,2013-01-13,SP1,2013,spain,Malaga,Barcelona,1,3,7.6,4.8,1.52,NA,NA,NA,NA
riSMZ4lh/,/soccer/france/ligue-1-2012-2013/reims-bastia-riSMZ4lh/,TRUE,2013-01-13,F1,2013,france,Stade de Reims,Bastia,1,2,2.31,3.38,3.5,NA,NA,NA,NA
rqhoeLee/,/soccer/italy/serie-a-2012-2013/napoli-palermo-rqhoeLee/,TRUE,2013-01-13,I1,2013,italy,Napoli,Palermo,3,0,1.44,5.03,9.69,NA,NA,NA,NA
WWC5ubz1/,/soccer/spain/primera-division-2012-2013/real-sociedad-dep-la-coruna-WWC5ubz1/,TRUE,2013-01-13,SP1,2013,spain,Real Sociedad,Deportivo La Coruna,1,1,1.85,4,4.75,NA,NA,NA,NA
dEKhr0jr/,/soccer/spain/primera-division-2012-2013/getafe-granada-cf-dEKhr0jr/,TRUE,2013-01-14,SP1,2013,spain,Getafe,Granada,2,2,2.16,3.5,4.17,NA,NA,NA,NA
6R8s9jh7/,/soccer/england/premier-league-2012-2013/chelsea-southampton-6R8s9jh7/,FALSE,2013-01-16,E0,2013,england,Chelsea,Southampton,2,2,1.22,7.8,16,NA,NA,NA,NA
OO2el43o/,/soccer/france/ligue-1-2012-2013/lyon-evian-tg-OO2el43o/,TRUE,2013-01-18,F1,2013,france,Lyon,Evian Thonon Gaillard,0,0,1.44,5.2,9.19,NA,NA,NA,NA
pIonhyK6/,/soccer/spain/primera-division-2012-2013/espanyol-mallorca-pIonhyK6/,TRUE,2013-01-18,SP1,2013,spain,Espanyol,Mallorca,3,2,2.1,3.49,4.2,NA,NA,NA,NA
U5PMuqwq/,/soccer/germany/bundesliga-2012-2013/schalke-hannover-U5PMuqwq/,TRUE,2013-01-18,D1,2013,germany,Schalke 04,Hannover 96,5,4,1.7,4.2,5.78,NA,NA,NA,NA
2gtiieZC/,/soccer/spain/primera-division-2012-2013/malaga-celta-vigo-2gtiieZC/,TRUE,2013-01-19,SP1,2013,spain,Malaga,Celta Vigo,1,1,1.67,4.15,6.3,NA,NA,NA,NA
8C47o2m4/,/soccer/france/ligue-1-2012-2013/toulouse-nancy-8C47o2m4/,TRUE,2013-01-19,F1,2013,france,Toulouse,AS Nancy Lorraine,2,1,1.73,3.95,5.9,NA,NA,NA,NA
boDZxsN1/,/soccer/germany/bundesliga-2012-2013/werder-bremen-dortmund-boDZxsN1/,TRUE,2013-01-19,D1,2013,germany,Werder Bremen,Borussia Dortmund,0,5,4.8,4.09,1.87,NA,NA,NA,NA
C4999xks/,/soccer/spain/primera-division-2012-2013/getafe-sevilla-C4999xks/,TRUE,2013-01-19,SP1,2013,spain,Getafe,Sevilla,1,1,3.64,3.55,2.36,NA,NA,NA,NA
CUERv3hk/,/soccer/germany/bundesliga-2012-2013/bayer-leverkusen-eintracht-frankfurt-CUERv3hk/,TRUE,2013-01-19,D1,2013,germany,Bayer Leverkusen,Eintracht Frankfurt,3,1,1.74,4.2,5.2,NA,NA,NA,NA
dx13nrYc/,/soccer/france/ligue-1-2012-2013/brest-st-etienne-dx13nrYc/,TRUE,2013-01-19,F1,2013,france,Brest,St Etienne,0,1,4.42,3.55,2.1,NA,NA,NA,NA
f9vYW2YA/,/soccer/france/ligue-1-2012-2013/lorient-troyes-f9vYW2YA/,TRUE,2013-01-19,F1,2013,france,Lorient,Troyes,3,2,1.8,3.75,5.7,NA,NA,NA,NA
fDtOqDeE/,/soccer/germany/bundesliga-2012-2013/mainz-freiburg-fDtOqDeE/,TRUE,2013-01-19,D1,2013,germany,Mainz,SC Freiburg,0,0,2.2,3.65,3.65,NA,NA,NA,NA
GIuUXrJ4/,/soccer/france/ligue-1-2012-2013/ac-ajaccio-valenciennes-GIuUXrJ4/,TRUE,2013-01-19,F1,2013,france,AC Ajaccio,Valenciennes,1,1,2.5,3.35,3.25,NA,NA,NA,NA
hpYfpPUR/,/soccer/germany/bundesliga-2012-2013/bayern-munich-greuther-furth-hpYfpPUR/,TRUE,2013-01-19,D1,2013,germany,Bayern Munich,SpVgg Greuther Furth,2,0,1.12,13,31,NA,NA,NA,NA
IgdNbw9B/,/soccer/england/premier-league-2012-2013/swansea-stoke-city-IgdNbw9B/,FALSE,2013-01-19,E0,2013,england,Swansea,Stoke City,3,1,2.29,3.3,3.85,NA,NA,NA,NA
