id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
0WIcOoZp/,/soccer/england/premier-league-2014-2015/newcastle-utd-burnley-0WIcOoZp/,TRUE,2015-01-01,E0,2015,england,Newcastle,Burnley,3,3,1.94,3.65,4.7,NA,NA,NA,NA
2yctmVBo/,/soccer/england/premier-league-2014-2015/southampton-arsenal-2yctmVBo/,TRUE,2015-01-01,E0,2015,england,Southampton,Arsenal,2,0,2.81,3.5,2.84,NA,NA,NA,NA
A10lo9tb/,/soccer/england/premier-league-2014-2015/tottenham-chelsea-A10lo9tb/,TRUE,2015-01-01,E0,2015,england,Tottenham,Chelsea,5,3,6.4,4.2,1.71,NA,NA,NA,NA
fXjQtfkC/,/soccer/england/premier-league-2014-2015/liverpool-leicester-fXjQtfkC/,TRUE,2015-01-01,E0,2015,england,Liverpool,Leicester City,2,2,1.48,5.2,9.2,NA,NA,NA,NA
GthMszz6/,/soccer/england/premier-league-2014-2015/hull-city-everton-GthMszz6/,TRUE,2015-01-01,E0,2015,england,Hull,Everton,2,0,3.3,3.36,2.49,NA,NA,NA,NA
lfjUuE4I/,/soccer/england/premier-league-2014-2015/manchester-city-sunderland-lfjUuE4I/,TRUE,2015-01-01,E0,2015,england,Manchester City,Sunderland,3,2,1.31,7.5,19,NA,NA,NA,NA
lhahpTe4/,/soccer/england/premier-league-2014-2015/west-ham-west-brom-lhahpTe4/,TRUE,2015-01-01,E0,2015,england,West Ham,West Brom,1,1,1.9,3.86,4.95,NA,NA,NA,NA
lrhq7Kwb/,/soccer/england/premier-league-2014-2015/qpr-swansea-lrhq7Kwb/,TRUE,2015-01-01,E0,2015,england,QPR,Swansea,1,1,3.13,3.54,2.66,NA,NA,NA,NA
tSepnkRi/,/soccer/england/premier-league-2014-2015/stoke-city-manchester-united-tSepnkRi/,TRUE,2015-01-01,E0,2015,england,Stoke City,Manchester Utd,1,1,5,3.72,3.34,NA,NA,NA,NA
zVzPrGKa/,/soccer/england/premier-league-2014-2015/aston-villa-crystal-palace-zVzPrGKa/,TRUE,2015-01-01,E0,2015,england,Aston Villa,Crystal Palace,0,0,2.4,3.34,3.6,NA,NA,NA,NA
4KByiMln/,/soccer/spain/primera-division-2014-2015/dep-la-coruna-ath-bilbao-4KByiMln/,TRUE,2015-01-03,SP1,2015,spain,Deportivo La Coruna,Athletic Bilbao,1,0,3.5,3.3,2.45,NA,NA,NA,NA
bsmXudto/,/soccer/spain/primera-division-2014-2015/malaga-almeria-bsmXudto/,TRUE,2015-01-03,SP1,2015,spain,Malaga,Almeria,1,2,1.57,4.48,7.6,NA,NA,NA,NA
MLe5pxYT/,/soccer/spain/primera-division-2014-2015/sevilla-celta-vigo-MLe5pxYT/,TRUE,2015-01-03,SP1,2015,spain,Sevilla,Celta Vigo,1,0,1.7,4.2,6.4,NA,NA,NA,NA
nq1tjt4h/,/soccer/spain/primera-division-2014-2015/atl-madrid-levante-nq1tjt4h/,TRUE,2015-01-03,SP1,2015,spain,Atletico Madrid,Levante,3,1,1.21,7.5,21,NA,NA,NA,NA
QTCXi2Zu/,/soccer/spain/primera-division-2014-2015/elche-villarreal-QTCXi2Zu/,TRUE,2015-01-03,SP1,2015,spain,Elche,Villarreal,2,2,6,4.02,1.79,NA,NA,NA,NA
bJ4pk0Jb/,/soccer/spain/primera-division-2014-2015/real-sociedad-barcelona-bJ4pk0Jb/,TRUE,2015-01-04,SP1,2015,spain,Real Sociedad,Barcelona,1,0,8.9,5.8,1.95,NA,NA,NA,NA
l8ccnb3H/,/soccer/spain/primera-division-2014-2015/espanyol-eibar-l8ccnb3H/,TRUE,2015-01-04,SP1,2015,spain,Espanyol,Eibar,1,2,1.77,3.85,5.9,NA,NA,NA,NA
Sbd1oIIN/,/soccer/spain/primera-division-2014-2015/valencia-real-madrid-Sbd1oIIN/,TRUE,2015-01-04,SP1,2015,spain,Valencia,Real Madrid,2,1,6.1,4.8,1.66,NA,NA,NA,NA
WW2hmvlB/,/soccer/spain/primera-division-2014-2015/getafe-rayo-vallecano-WW2hmvlB/,TRUE,2015-01-04,SP1,2015,spain,Getafe,Rayo Vallecano,1,2,2.28,3.59,3.65,NA,NA,NA,NA
0zPiJRPD/,/soccer/italy/serie-a-2014-2015/lazio-sampdoria-0zPiJRPD/,TRUE,2015-01-05,I1,2015,italy,Lazio,Sampdoria,3,0,1.83,3.68,5.65,NA,NA,NA,NA
ht4llKY4/,/soccer/spain/primera-division-2014-2015/cordoba-granada-cf-ht4llKY4/,TRUE,2015-01-05,SP1,2015,spain,Cordoba,Granada,2,0,2.71,3.1,3.5,NA,NA,NA,NA
CErccp3f/,/soccer/italy/serie-a-2014-2015/chievo-torino-CErccp3f/,TRUE,2015-01-06,I1,2015,italy,Chievo Verona,Torino,0,0,3.12,3.1,2.88,NA,NA,NA,NA
d22MawPh/,/soccer/italy/serie-a-2014-2015/parma-fiorentina-d22MawPh/,TRUE,2015-01-06,I1,2015,italy,Parma,Fiorentina,1,0,4.7,3.65,2,NA,NA,NA,NA
IB3I0J9n/,/soccer/italy/serie-a-2014-2015/palermo-cagliari-IB3I0J9n/,TRUE,2015-01-06,I1,2015,italy,Palermo,Cagliari,5,0,2.22,3.45,4.2,NA,NA,NA,NA
j5s1d4I0/,/soccer/italy/serie-a-2014-2015/empoli-verona-j5s1d4I0/,TRUE,2015-01-06,I1,2015,italy,Empoli,Hellas Verona,0,0,1.93,3.66,4.85,NA,NA,NA,NA
jP1Qbcva/,/soccer/italy/serie-a-2014-2015/udinese-as-roma-jP1Qbcva/,TRUE,2015-01-06,I1,2015,italy,Udinese,AS Roma,0,1,5.1,3.65,1.95,NA,NA,NA,NA
nXzAfrmD/,/soccer/italy/serie-a-2014-2015/juventus-inter-nXzAfrmD/,TRUE,2015-01-06,I1,2015,italy,Juventus,Internazionale,1,1,1.46,4.95,9.5,NA,NA,NA,NA
ruvgbQml/,/soccer/italy/serie-a-2014-2015/cesena-napoli-ruvgbQml/,TRUE,2015-01-06,I1,2015,italy,Cesena,Napoli,1,4,11.07,5.5,1.4,NA,NA,NA,NA
x0nL1aft/,/soccer/italy/serie-a-2014-2015/ac-milan-sassuolo-x0nL1aft/,TRUE,2015-01-06,I1,2015,italy,AC Milan,Sassuolo,1,2,1.65,4.25,7.2,NA,NA,NA,NA
YTW5eOX6/,/soccer/italy/serie-a-2014-2015/genoa-atalanta-YTW5eOX6/,TRUE,2015-01-06,I1,2015,italy,Genoa,Atalanta,2,2,2.26,3.29,4.1,NA,NA,NA,NA
ALdJQIS7/,/soccer/france/ligue-1-2014-2015/lille-evian-tg-ALdJQIS7/,TRUE,2015-01-07,F1,2015,france,Lille,Evian Thonon Gaillard,1,0,1.82,3.6,6.1,NA,NA,NA,NA
EPwbDNAs/,/soccer/france/ligue-1-2014-2015/montpellier-marseille-EPwbDNAs/,TRUE,2015-01-09,F1,2015,france,Montpellier,Marseille,2,1,4.5,3.5,2.1,NA,NA,NA,NA
YDvN2Jmb/,/soccer/spain/primera-division-2014-2015/levante-dep-la-coruna-YDvN2Jmb/,TRUE,2015-01-09,SP1,2015,spain,Levante,Deportivo La Coruna,0,0,2.28,3.31,4.05,NA,NA,NA,NA
0fL8BzO4/,/soccer/italy/serie-a-2014-2015/torino-ac-milan-0fL8BzO4/,TRUE,2015-01-10,I1,2015,italy,Torino,AC Milan,1,1,2.8,3.3,3.1,NA,NA,NA,NA
0nRF4uJo/,/soccer/spain/primera-division-2014-2015/malaga-villarreal-0nRF4uJo/,TRUE,2015-01-10,SP1,2015,spain,Malaga,Villarreal,1,1,3.3,3.44,2.49,NA,NA,NA,NA
0Sf3rk2q/,/soccer/spain/primera-division-2014-2015/eibar-getafe-0Sf3rk2q/,TRUE,2015-01-10,SP1,2015,spain,Eibar,Getafe,2,1,2.35,3.2,3.8,NA,NA,NA,NA
2F58toeT/,/soccer/england/premier-league-2014-2015/crystal-palace-tottenham-2F58toeT/,TRUE,2015-01-10,E0,2015,england,Crystal Palace,Tottenham,2,1,3.7,3.5,2.28,NA,NA,NA,NA
4EWAALf0/,/soccer/france/ligue-1-2014-2015/reims-st-etienne-4EWAALf0/,TRUE,2015-01-10,F1,2015,france,Stade de Reims,St Etienne,1,2,3.98,3.26,2.3,NA,NA,NA,NA
61VV9l4k/,/soccer/france/ligue-1-2014-2015/bastia-paris-sg-61VV9l4k/,TRUE,2015-01-10,F1,2015,france,Bastia,Paris Saint-Germain,4,2,9.5,4.6,1.51,NA,NA,NA,NA
dflCtTWe/,/soccer/spain/primera-division-2014-2015/celta-vigo-valencia-dflCtTWe/,TRUE,2015-01-10,SP1,2015,spain,Celta Vigo,Valencia,1,1,2.59,3.6,3.1,NA,NA,NA,NA
l6vRbSAc/,/soccer/england/premier-league-2014-2015/sunderland-liverpool-l6vRbSAc/,TRUE,2015-01-10,E0,2015,england,Sunderland,Liverpool,0,1,3.91,3.45,2.27,NA,NA,NA,NA
lQKz98Je/,/soccer/france/ligue-1-2014-2015/evian-tg-rennes-lQKz98Je/,TRUE,2015-01-10,F1,2015,france,Evian Thonon Gaillard,Stade Rennes,1,1,2.98,3.2,3,NA,NA,NA,NA
ManuyPIj/,/soccer/england/premier-league-2014-2015/leicester-aston-villa-ManuyPIj/,TRUE,2015-01-10,E0,2015,england,Leicester City,Aston Villa,1,0,2.25,3.44,3.75,NA,NA,NA,NA
