id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n
0CULYZu7/,/soccer/spain/primera-division/malaga-celta-vigo-0CULYZu7/,TRUE,2016-01-02,SP1,2016,spain,Malaga,Celta Vigo,2,0,2.4,3.3,4,NA,NA,NA,NA
2XjjL1AT/,/soccer/england/premier-league-2015-2016/norwich-southampton-2XjjL1AT/,TRUE,2016-01-02,E0,2016,england,Norwich City,Southampton,1,0,3.2,3.34,2.67,NA,NA,NA,NA
8ETIGLIp/,/soccer/england/premier-league-2015-2016/sunderland-aston-villa-8ETIGLIp/,TRUE,2016-01-02,E0,2016,england,Sunderland,Aston Villa,3,1,2.6,3.36,3.25,NA,NA,NA,NA
EBK8wqQc/,/soccer/england/premier-league-2015-2016/west-ham-liverpool-EBK8wqQc/,TRUE,2016-01-02,E0,2016,england,West Ham,Liverpool,2,0,4.35,3.62,2.13,NA,NA,NA,NA
EFYPXgeD/,/soccer/spain/primera-division/espanyol-barcelona-EFYPXgeD/,TRUE,2016-01-02,SP1,2016,spain,Espanyol,Barcelona,0,0,19.5,8.6,1.25,NA,NA,NA,NA
hKEzp64R/,/soccer/england/premier-league-2015-2016/manchester-united-swansea-hKEzp64R/,TRUE,2016-01-02,E0,2016,england,Manchester Utd,Swansea,2,1,1.6,4.4,8.55,NA,NA,NA,NA
MHXMFuYj/,/soccer/england/premier-league-2015-2016/watford-manchester-city-MHXMFuYj/,TRUE,2016-01-02,E0,2016,england,Watford,Manchester City,1,2,5.3,4.15,1.78,NA,NA,NA,NA
OthnMseN/,/soccer/england/premier-league-2015-2016/leicester-bournemouth-OthnMseN/,TRUE,2016-01-02,E0,2016,england,Leicester City,Bournemouth,0,0,2.03,3.82,4.5,NA,NA,NA,NA
Wj5jlFuf/,/soccer/spain/primera-division/atl-madrid-levante-Wj5jlFuf/,TRUE,2016-01-02,SP1,2016,spain,Atletico Madrid,Levante,1,0,1.28,7.1,22,NA,NA,NA,NA
YiaZOqB4/,/soccer/england/premier-league-2015-2016/arsenal-newcastle-utd-YiaZOqB4/,TRUE,2016-01-02,E0,2016,england,Arsenal,Newcastle,1,0,1.32,7.3,14,NA,NA,NA,NA
zLL4vPAi/,/soccer/england/premier-league-2015-2016/west-brom-stoke-city-zLL4vPAi/,TRUE,2016-01-02,E0,2016,england,West Brom,Stoke City,2,1,3.04,3.16,2.87,NA,NA,NA,NA
69LBecmK/,/soccer/spain/primera-division/valencia-real-madrid-69LBecmK/,TRUE,2016-01-03,SP1,2016,spain,Valencia,Real Madrid,2,2,6.8,4.85,1.69,NA,NA,NA,NA
EFfemZf0/,/soccer/spain/primera-division/ath-bilbao-ud-las-palmas-EFfemZf0/,TRUE,2016-01-03,SP1,2016,spain,Athletic Bilbao,Las Palmas,2,2,1.55,5.22,9.5,NA,NA,NA,NA
f7mrNNuH/,/soccer/england/premier-league-2015-2016/everton-tottenham-f7mrNNuH/,TRUE,2016-01-03,E0,2016,england,Everton,Tottenham,1,1,2.8,3.6,2.96,NA,NA,NA,NA
GGlvO3QA/,/soccer/england/premier-league-2015-2016/crystal-palace-chelsea-GGlvO3QA/,TRUE,2016-01-03,E0,2016,england,Crystal Palace,Chelsea,0,3,4.3,3.6,2.13,NA,NA,NA,NA
ImuHZFQ0/,/soccer/spain/primera-division/rayo-vallecano-real-sociedad-ImuHZFQ0/,TRUE,2016-01-03,SP1,2016,spain,Rayo Vallecano,Real Sociedad,2,2,2.72,3.5,2.93,NA,NA,NA,NA
KG1nkeQm/,/soccer/spain/primera-division/dep-la-coruna-villarreal-KG1nkeQm/,TRUE,2016-01-03,SP1,2016,spain,Deportivo La Coruna,Villarreal,1,2,2.8,3.3,3.14,NA,NA,NA,NA
OpGGfH2Q/,/soccer/spain/primera-division/granada-cf-sevilla-OpGGfH2Q/,TRUE,2016-01-03,SP1,2016,spain,Granada,Sevilla,2,1,5.3,4,1.92,NA,NA,NA,NA
Qg2rjyBs/,/soccer/spain/primera-division/betis-eibar-Qg2rjyBs/,TRUE,2016-01-03,SP1,2016,spain,Real Betis,Eibar,0,4,2.56,3.36,3.2,NA,NA,NA,NA
SIM7dwYD/,/soccer/spain/primera-division/gijon-getafe-SIM7dwYD/,TRUE,2016-01-04,SP1,2016,spain,Sporting Gijon,Getafe,1,2,2.41,3.4,3.52,NA,NA,NA,NA
ADvvgJPP/,/soccer/italy/serie-a/genoa-sampdoria-ADvvgJPP/,TRUE,2016-01-05,I1,2016,italy,Genoa,Sampdoria,2,3,2.49,3.21,3.76,NA,NA,NA,NA
2cvpXy36/,/soccer/italy/serie-a/napoli-torino-2cvpXy36/,TRUE,2016-01-06,I1,2016,italy,Napoli,Torino,2,1,1.5,5,10,NA,NA,NA,NA
ANshVFXI/,/soccer/italy/serie-a/chievo-as-roma-ANshVFXI/,TRUE,2016-01-06,I1,2016,italy,Chievo Verona,AS Roma,3,3,3.26,3.28,2.56,NA,NA,NA,NA
CSLzfaAJ/,/soccer/italy/serie-a/palermo-fiorentina-CSLzfaAJ/,TRUE,2016-01-06,I1,2016,italy,Palermo,Fiorentina,1,3,5.6,3.8,1.89,NA,NA,NA,NA
O6utYHm0/,/soccer/italy/serie-a/lazio-carpi-O6utYHm0/,TRUE,2016-01-06,I1,2016,italy,Lazio,Carpi,0,0,1.53,4.6,9,NA,NA,NA,NA
SvnXZwJm/,/soccer/italy/serie-a/juventus-verona-SvnXZwJm/,TRUE,2016-01-06,I1,2016,italy,Juventus,Hellas Verona,3,0,1.26,8.2,23,NA,NA,NA,NA
trjyZcYg/,/soccer/italy/serie-a/sassuolo-frosinone-trjyZcYg/,TRUE,2016-01-06,I1,2016,italy,Sassuolo,Frosinone,2,2,1.57,4.8,8.5,NA,NA,NA,NA
W801u0eQ/,/soccer/italy/serie-a/empoli-inter-W801u0eQ/,TRUE,2016-01-06,I1,2016,italy,Empoli,Internazionale,0,1,3.82,3.37,2.38,NA,NA,NA,NA
WWrlWeIC/,/soccer/italy/serie-a/udinese-atalanta-WWrlWeIC/,TRUE,2016-01-06,I1,2016,italy,Udinese,Atalanta,2,1,2.29,3.36,4,NA,NA,NA,NA
