id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jXPRvJAU/,jXPRvJAU90,90,79,"Substitution, Milan. Gianluca Lapadula replaces Mario Pasalic.",7,NA,1,AC Milan,Cagliari,NA,NA,gianluca lapadula,mario pasalic,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU91,91,80,Foul by Bruno Alves (Cagliari).,3,NA,2,Cagliari,AC Milan,bruno alves,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU92,92,80,Gianluca Lapadula (Milan) wins a free kick in the attacking half.,8,NA,1,AC Milan,Cagliari,gianluca lapadula,NA,NA,NA,NA,NA,0,1,NA,0,NA,0
jXPRvJAU/,jXPRvJAU93,93,81,Attempt blocked. Suso (Milan) left footed shot from outside the box is blocked.,1,NA,1,AC Milan,Cagliari,suso,NA,NA,NA,2,3,0,15,2,0,1,0
jXPRvJAU/,jXPRvJAU94,94,81,Attempt missed. Manuel Locatelli (Milan) right footed shot from outside the box is too high following a set piece situation.,1,NA,1,AC Milan,Cagliari,manuel locatelli,NA,NA,NA,10,2,0,15,1,0,2,0
jXPRvJAU/,jXPRvJAU95,95,82,Attempt missed. Daniele Dessena (Cagliari) left footed shot from the centre of the box is high and wide to the left. Assisted by Joao Pedro.,1,12,2,Cagliari,AC Milan,daniele dessena,joao pedro,NA,NA,6,2,0,3,2,1,1,0
jXPRvJAU/,jXPRvJAU96,96,86,Foul by Marco Borriello (Cagliari).,3,NA,2,Cagliari,AC Milan,marco borriello,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
jXPRvJAU/,jXPRvJAU97,97,86,Manuel Locatelli (Milan) wins a free kick in the defensive half.,8,NA,1,AC Milan,Cagliari,manuel locatelli,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
jXPRvJAU/,jXPRvJAU98,98,87,Attempt blocked. Suso (Milan) left footed shot from outside the box is blocked. Assisted by Andrea Bertolacci.,1,12,1,AC Milan,Cagliari,suso,andrea bertolacci,NA,NA,2,3,0,15,2,1,1,0
jXPRvJAU/,jXPRvJAU99,99,88,Attempt blocked. Gianluca Lapadula (Milan) left footed shot from the centre of the box is blocked. Assisted by Mattia De Sciglio with a cross.,1,12,1,AC Milan,Cagliari,gianluca lapadula,mattia de sciglio,NA,NA,2,3,0,3,2,2,1,0
